ID Cliente,meses_consecutivos,Categoria
825,24,Diamante
826,24,Diamante
827,0,Inactivo
828,24,Diamante
829,24,Diamante
830,24,Diamante
831,24,Diamante
832,24,Diamante
833,24,Diamante
834,24,Diamante
835,24,Diamante
836,24,Diamante
837,24,Diamante
838,24,Diamante
839,24,Diamante
840,24,Diamante
841,24,Diamante
842,24,Diamante
843,24,Diamante
844,0,Inactivo
845,24,Diamante
846,4,Plata
847,24,Diamante
848,24,Diamante
849,0,Inactivo
850,11,Esmeralda
851,24,Diamante
852,24,Diamante
853,24,Diamante
854,24,Diamante
855,0,Inactivo
856,24,Diamante
857,24,Diamante
858,24,Diamante
859,24,Diamante
860,24,Diamante
861,24,Diamante
862,24,Diamante
863,24,Diamante
864,0,Inactivo
865,24,Diamante
866,24,Diamante
867,24,Diamante
868,24,Diamante
869,24,Diamante
870,24,Diamante
871,24,Diamante
872,24,Diamante
873,24,Diamante
874,15,Diamante
875,24,Diamante
876,24,Diamante
877,24,Diamante
878,24,Diamante
879,24,Diamante
880,0,Inactivo
881,24,Diamante
882,24,Diamante
883,24,Diamante
884,24,Diamante
885,24,Diamante
886,0,Inactivo
887,24,Diamante
888,24,Diamante
889,24,Diamante
890,0,Inactivo
891,0,Inactivo
892,24,Diamante
893,24,Diamante
894,24,Diamante
895,24,Diamante
896,24,Diamante
897,24,Diamante
898,0,Inactivo
899,24,Diamante
900,24,Diamante
901,24,Diamante
902,24,Diamante
903,24,Diamante
904,24,Diamante
905,24,Diamante
906,24,Diamante
907,24,Diamante
908,24,Diamante
909,24,Diamante
910,0,Inactivo
911,0,Inactivo
912,24,Diamante
913,24,Diamante
914,0,Inactivo
915,0,Inactivo
916,24,Diamante
917,24,Diamante
918,24,Diamante
919,24,Diamante
920,24,Diamante
921,24,Diamante
922,24,Diamante
923,24,Diamante
924,24,Diamante
925,24,Diamante
926,0,Inactivo
927,24,Diamante
928,24,Diamante
929,0,Inactivo
930,0,Inactivo
931,24,Diamante
932,24,Diamante
933,24,Diamante
934,24,Diamante
935,24,Diamante
936,24,Diamante
937,24,Diamante
938,24,Diamante
939,24,Diamante
940,24,Diamante
941,24,Diamante
942,24,Diamante
943,24,Diamante
944,0,Inactivo
945,0,Inactivo
946,24,Diamante
947,24,Diamante
948,24,Diamante
949,24,Diamante
950,24,Diamante
951,0,Inactivo
952,24,Diamante
953,0,Inactivo
954,24,Diamante
955,24,Diamante
956,0,Inactivo
957,24,Diamante
958,24,Diamante
959,24,Diamante
960,24,Diamante
961,24,Diamante
962,24,Diamante
963,24,Diamante
964,24,Diamante
965,24,Diamante
966,24,Diamante
967,24,Diamante
968,24,Diamante
969,24,Diamante
970,0,Inactivo
971,24,Diamante
972,24,Diamante
973,24,Diamante
974,24,Diamante
975,24,Diamante
976,24,Diamante
977,24,Diamante
978,24,Diamante
979,24,Diamante
980,24,Diamante
981,0,Inactivo
982,24,Diamante
983,24,Diamante
984,24,Diamante
985,24,Diamante
986,24,Diamante
987,24,Diamante
988,24,Diamante
989,24,Diamante
990,24,Diamante
991,24,Diamante
992,24,Diamante
993,24,Diamante
994,0,Inactivo
995,24,Diamante
996,24,Diamante
997,24,Diamante
998,0,Inactivo
999,24,Diamante
1000,23,Diamante
1001,24,Diamante
1002,24,Diamante
1003,24,Diamante
1004,24,Diamante
1005,24,Diamante
1006,24,Diamante
1007,24,Diamante
1008,24,Diamante
1009,24,Diamante
1010,24,Diamante
1011,24,Diamante
1012,24,Diamante
1013,24,Diamante
1014,24,Diamante
1015,24,Diamante
1016,24,Diamante
1017,24,Diamante
1018,24,Diamante
1019,24,Diamante
1020,24,Diamante
1021,24,Diamante
1022,24,Diamante
1023,24,Diamante
1024,0,Inactivo
1025,24,Diamante
1026,24,Diamante
1027,15,Diamante
1028,24,Diamante
1029,24,Diamante
1030,24,Diamante
1031,24,Diamante
1032,24,Diamante
1033,24,Diamante
1034,0,Inactivo
1035,24,Diamante
1036,24,Diamante
1037,0,Inactivo
1038,24,Diamante
1039,24,Diamante
1040,24,Diamante
1041,24,Diamante
1042,24,Diamante
1043,0,Inactivo
1044,24,Diamante
1045,24,Diamante
1046,24,Diamante
1047,0,Inactivo
1048,24,Diamante
1049,24,Diamante
1050,24,Diamante
1051,24,Diamante
1052,24,Diamante
1053,0,Inactivo
1054,0,Inactivo
1055,24,Diamante
1056,24,Diamante
1057,24,Diamante
1058,24,Diamante
1059,0,Inactivo
1060,0,Inactivo
1061,24,Diamante
1062,24,Diamante
1063,24,Diamante
1064,24,Diamante
1065,24,Diamante
1066,0,Inactivo
1067,24,Diamante
1068,24,Diamante
1069,0,Inactivo
1070,24,Diamante
1071,24,Diamante
1072,24,Diamante
1073,24,Diamante
1074,24,Diamante
1075,24,Diamante
1076,24,Diamante
1077,24,Diamante
1078,0,Inactivo
1079,24,Diamante
1080,24,Diamante
1081,0,Inactivo
1082,24,Diamante
1083,24,Diamante
1084,24,Diamante
1085,0,Inactivo
1086,24,Diamante
1087,24,Diamante
1088,24,Diamante
1089,24,Diamante
1090,24,Diamante
1091,24,Diamante
1092,24,Diamante
1093,0,Inactivo
1094,24,Diamante
1095,24,Diamante
1096,24,Diamante
1097,24,Diamante
1098,24,Diamante
1099,24,Diamante
1100,24,Diamante
1101,24,Diamante
1102,24,Diamante
1103,24,Diamante
1104,24,Diamante
1105,24,Diamante
1106,24,Diamante
1107,24,Diamante
1108,24,Diamante
1109,24,Diamante
1110,24,Diamante
1111,0,Inactivo
1112,24,Diamante
1113,0,Inactivo
1114,24,Diamante
1115,24,Diamante
1116,24,Diamante
1117,0,Inactivo
1118,24,Diamante
1119,24,Diamante
1120,24,Diamante
1121,0,Inactivo
1122,24,Diamante
1123,6,Oro
1124,0,Inactivo
1125,24,Diamante
1126,24,Diamante
1127,17,Diamante
1128,24,Diamante
1129,24,Diamante
1130,24,Diamante
1131,24,Diamante
1132,24,Diamante
1133,24,Diamante
1134,24,Diamante
1135,0,Inactivo
1136,24,Diamante
1137,24,Diamante
1138,24,Diamante
1139,24,Diamante
1140,24,Diamante
1141,24,Diamante
1142,24,Diamante
1143,24,Diamante
1144,24,Diamante
1145,24,Diamante
1146,24,Diamante
1147,24,Diamante
1148,24,Diamante
1149,24,Diamante
1150,24,Diamante
1151,0,Inactivo
1152,24,Diamante
1153,24,Diamante
1154,24,Diamante
1155,24,Diamante
1156,0,Inactivo
1157,24,Diamante
1158,0,Inactivo
1159,24,Diamante
1160,24,Diamante
1161,24,Diamante
1162,0,Inactivo
1163,24,Diamante
1164,24,Diamante
1165,24,Diamante
1166,0,Inactivo
1167,24,Diamante
1168,24,Diamante
1169,24,Diamante
1170,24,Diamante
1171,24,Diamante
1172,24,Diamante
1173,0,Inactivo
1174,24,Diamante
1175,24,Diamante
1176,24,Diamante
1177,24,Diamante
1178,24,Diamante
1179,24,Diamante
1180,24,Diamante
1181,0,Inactivo
1182,24,Diamante
1183,24,Diamante
1184,0,Inactivo
1185,0,Inactivo
1186,24,Diamante
1187,24,Diamante
1188,24,Diamante
1189,24,Diamante
1190,0,Inactivo
1191,0,Inactivo
1192,24,Diamante
1193,10,Esmeralda
1194,24,Diamante
1195,0,Inactivo
1196,24,Diamante
1197,24,Diamante
1198,24,Diamante
1199,24,Diamante
1200,24,Diamante
1201,24,Diamante
1202,24,Diamante
1203,0,Inactivo
1204,24,Diamante
1205,24,Diamante
1206,24,Diamante
1207,24,Diamante
1208,24,Diamante
1209,24,Diamante
1210,10,Esmeralda
1211,24,Diamante
1212,24,Diamante
1213,24,Diamante
1214,24,Diamante
1215,24,Diamante
1216,24,Diamante
1217,24,Diamante
1218,24,Diamante
1219,24,Diamante
1220,0,Inactivo
1221,24,Diamante
1222,24,Diamante
1223,0,Inactivo
1224,24,Diamante
1225,0,Inactivo
1226,24,Diamante
1227,2,Bronce
1228,24,Diamante
1229,0,Inactivo
1230,24,Diamante
1231,0,Inactivo
1232,24,Diamante
1233,24,Diamante
1234,0,Inactivo
1235,24,Diamante
1236,0,Inactivo
1237,24,Diamante
1238,0,Inactivo
1239,24,Diamante
1240,24,Diamante
1241,24,Diamante
1242,24,Diamante
1243,24,Diamante
1244,24,Diamante
1245,24,Diamante
1246,0,Inactivo
1247,24,Diamante
1248,24,Diamante
1249,24,Diamante
1250,24,Diamante
1251,24,Diamante
1252,24,Diamante
1253,0,Inactivo
1254,24,Diamante
1255,24,Diamante
1256,24,Diamante
1257,24,Diamante
1258,24,Diamante
1259,24,Diamante
1260,24,Diamante
1261,24,Diamante
1262,24,Diamante
1263,24,Diamante
1264,24,Diamante
1265,24,Diamante
1266,24,Diamante
1267,24,Diamante
1268,24,Diamante
1269,24,Diamante
1270,24,Diamante
1271,24,Diamante
1272,24,Diamante
1273,0,Inactivo
1274,24,Diamante
1275,24,Diamante
1276,24,Diamante
1277,24,Diamante
1278,24,Diamante
1279,24,Diamante
1280,24,Diamante
1281,24,Diamante
1282,24,Diamante
1283,24,Diamante
1284,24,Diamante
1285,24,Diamante
1286,0,Inactivo
1287,24,Diamante
1288,24,Diamante
1289,24,Diamante
1290,24,Diamante
1291,24,Diamante
1292,24,Diamante
1293,24,Diamante
1294,0,Inactivo
1295,24,Diamante
1296,0,Inactivo
1297,0,Inactivo
1298,24,Diamante
1299,0,Inactivo
1300,24,Diamante
1301,24,Diamante
1302,24,Diamante
1303,24,Diamante
1304,24,Diamante
1305,24,Diamante
1306,24,Diamante
1307,11,Esmeralda
1308,24,Diamante
1309,24,Diamante
1310,24,Diamante
1311,24,Diamante
1312,24,Diamante
1313,24,Diamante
1314,24,Diamante
1315,24,Diamante
1316,24,Diamante
1317,24,Diamante
1318,0,Inactivo
1319,24,Diamante
1320,24,Diamante
1321,24,Diamante
1322,0,Inactivo
1323,24,Diamante
1324,0,Inactivo
1325,24,Diamante
1326,0,Inactivo
1327,24,Diamante
1328,24,Diamante
1329,24,Diamante
1330,24,Diamante
1331,24,Diamante
1332,24,Diamante
1333,0,Inactivo
1334,24,Diamante
1335,5,Plata
1336,0,Inactivo
1337,24,Diamante
1338,24,Diamante
1339,24,Diamante
1340,24,Diamante
1341,24,Diamante
1342,0,Inactivo
1343,0,Inactivo
1344,24,Diamante
1345,24,Diamante
1346,24,Diamante
1347,0,Inactivo
1348,24,Diamante
1349,24,Diamante
1350,0,Inactivo
1351,24,Diamante
1352,9,Esmeralda
1353,24,Diamante
1354,24,Diamante
1355,24,Diamante
1356,24,Diamante
1357,24,Diamante
1358,0,Inactivo
1359,24,Diamante
1360,24,Diamante
1361,24,Diamante
1362,24,Diamante
1363,24,Diamante
1364,24,Diamante
1365,0,Inactivo
1366,24,Diamante
1367,0,Inactivo
1368,24,Diamante
1369,24,Diamante
1370,24,Diamante
1371,24,Diamante
1372,24,Diamante
1373,24,Diamante
1374,24,Diamante
1375,24,Diamante
1376,24,Diamante
1377,22,Diamante
1378,0,Inactivo
1379,24,Diamante
1380,24,Diamante
1381,24,Diamante
1382,24,Diamante
1383,24,Diamante
1384,24,Diamante
1385,24,Diamante
1386,0,Inactivo
1387,24,Diamante
1388,24,Diamante
1389,24,Diamante
1390,0,Inactivo
1391,0,Inactivo
1392,24,Diamante
1393,24,Diamante
1394,24,Diamante
1395,0,Inactivo
1396,24,Diamante
1397,24,Diamante
1398,24,Diamante
1399,24,Diamante
1400,24,Diamante
1401,24,Diamante
1402,24,Diamante
1403,24,Diamante
1404,24,Diamante
1405,24,Diamante
1406,24,Diamante
1407,24,Diamante
1408,10,Esmeralda
1409,24,Diamante
1410,24,Diamante
1411,12,Diamante
1412,24,Diamante
1413,0,Inactivo
1414,0,Inactivo
1415,24,Diamante
1416,24,Diamante
1417,24,Diamante
1418,24,Diamante
1419,24,Diamante
1420,24,Diamante
1421,24,Diamante
1422,0,Inactivo
1423,24,Diamante
1424,24,Diamante
1425,0,Inactivo
1426,24,Diamante
1427,24,Diamante
1428,0,Inactivo
1429,24,Diamante
1430,24,Diamante
1431,24,Diamante
1432,24,Diamante
1433,24,Diamante
1434,24,Diamante
1435,24,Diamante
1436,24,Diamante
1437,24,Diamante
1438,24,Diamante
1439,24,Diamante
1440,24,Diamante
1441,24,Diamante
1442,24,Diamante
1443,24,Diamante
1444,24,Diamante
1445,24,Diamante
1446,24,Diamante
1447,24,Diamante
1448,0,Inactivo
1449,24,Diamante
1450,24,Diamante
1451,24,Diamante
1452,24,Diamante
1453,24,Diamante
1454,24,Diamante
1455,0,Inactivo
1456,24,Diamante
1457,24,Diamante
1458,24,Diamante
1459,24,Diamante
1460,24,Diamante
1461,24,Diamante
1462,24,Diamante
1463,24,Diamante
1464,24,Diamante
1465,24,Diamante
1466,24,Diamante
1467,0,Inactivo
1468,24,Diamante
